2020-11-30 19:40:58.765 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2020-11-30 19:40:58.765 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2020-11-30 19:40:58.765 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2020-11-30 19:40:58.766 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2020-11-30 19:40:58.766 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2020-11-30 19:40:59.483 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2020-11-30 19:40:59.491 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 5
2020-11-30 19:40:59.496 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-11-30 19:40:59.502 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1606736459500 with initial instances count: 41
2020-11-30 19:40:59.504 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application TEST-SERVICE-ONE with eureka with status UP
2020-11-30 19:40:59.506 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1606736459506, current=UP, previous=STARTING]
2020-11-30 19:40:59.509 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-19113"]
2020-11-30 19:40:59.512 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_TEST-SERVICE-ONE/192.168.96.60:SPRING-BOOT-ZMJPROJECT01:19113: registering service...
2020-11-30 19:40:59.586 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 19113 (http) with context path ''
2020-11-30 19:40:59.587 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 19113
2020-11-30 19:40:59.609 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_TEST-SERVICE-ONE/192.168.96.60:SPRING-BOOT-ZMJPROJECT01:19113 - registration status: 204
2020-11-30 19:40:59.610 [main] INFO  com.zmj.ZmjApplication - Started ZmjApplication in 32.064 seconds (JVM running for 33.591)
2020-11-30 19:41:12.761 [http-nio-19113-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-30 19:41:12.763 [http-nio-19113-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-11-30 19:41:12.779 [http-nio-19113-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2020-11-30 19:41:13.368 [http-nio-19113-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-11-30 19:41:14.317 [http-nio-19113-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-11-30 19:42:42.021 [SpringContextShutdownHook] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application TEST-SERVICE-ONE with eureka with status DOWN
2020-11-30 19:42:42.022 [SpringContextShutdownHook] WARN  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1606736562022, current=DOWN, previous=UP]
2020-11-30 19:42:42.024 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_TEST-SERVICE-ONE/192.168.96.60:SPRING-BOOT-ZMJPROJECT01:19113: registering service...
2020-11-30 19:42:42.058 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_TEST-SERVICE-ONE/192.168.96.60:SPRING-BOOT-ZMJPROJECT01:19113 - registration status: 204
2020-11-30 19:42:42.068 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-11-30 19:42:42.076 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-11-30 19:42:42.090 [SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-11-30 19:42:42.092 [SpringContextShutdownHook] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2020-11-30 19:42:45.102 [SpringContextShutdownHook] INFO  com.netflix.discovery.DiscoveryClient - Unregistering ...
2020-11-30 19:42:45.146 [SpringContextShutdownHook] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_TEST-SERVICE-ONE/192.168.96.60:SPRING-BOOT-ZMJPROJECT01:19113 - deregister  status: 200
